Date,VX60d,VX90d,VF75,VVIX,VIX
2017-06-08,13.0679,14.045,13.5564,83.27999877929688,10.15999984741211
2017-06-09,13.1107,14.0636,13.5871,87.41000366210938,10.699999809265137
2017-06-12,13.2911,14.2107,13.7509,91.20999908447266,11.460000038146973
2017-06-13,13.0036,14.0164,13.51,86.66000366210938,10.420000076293945
2017-06-14,12.9446,13.9507,13.4477,89.97000122070312,10.640000343322754
2017-06-15,13.075,14.125,13.6,89.94999694824219,10.899999618530273
2017-06-16,12.9518,13.9693,13.4605,87.0,10.380000114440918
2017-06-19,12.795,13.845,13.32,85.2699966430664,10.369999885559082
2017-06-20,12.8236,13.8093,13.3164,89.19000244140625,10.859999656677246
2017-06-21,12.9393,13.7964,13.3679,88.06999969482422,10.75
2017-06-22,12.875,13.775,13.325,86.37999725341797,10.479999542236328
2017-06-23,12.805,13.7045,13.2547,84.5199966430664,10.020000457763672
2017-06-26,12.645,13.5393,13.0921,81.94000244140625,9.899999618530273
2017-06-27,12.9536,13.7795,13.3665,87.30000305175781,11.0600004196167
2017-06-28,12.805,13.6857,13.2454,84.23999786376953,10.029999732971191
2017-06-29,12.9679,13.8125,13.3902,93.77999877929688,11.4399995803833
2017-06-30,13.0464,13.8893,13.4679,90.43000030517578,11.180000305175781
2017-07-03,13.4093,14.1804,13.7948,93.30999755859375,11.220000267028809
2017-07-05,13.4136,14.2,13.8068,91.9800033569336,11.069999694824219
2017-07-06,13.8864,14.575,14.2307,100.20999908447266,12.539999961853027
2017-07-07,13.6464,14.45,14.0482,92.5,11.1899995803833
2017-07-10,13.4493,14.225,13.8371,89.69000244140625,11.109999656677246
2017-07-11,13.2921,14.0839,13.688,88.2300033569336,10.890000343322754
2017-07-12,13.1214,13.9179,13.5196,88.19000244140625,10.300000190734863
2017-07-13,13.0807,13.85,13.4654,85.68000030517578,9.899999618530273
2017-07-14,12.7579,13.5446,13.1513,82.19999694824219,9.510000228881836
2017-07-17,12.7821,13.5946,13.1884,80.2699966430664,9.819999694824219
2017-07-18,12.7936,13.6679,13.2307,79.13999938964844,9.890000343322754
2017-07-19,12.6221,13.4964,13.0593,77.95999908447266,9.789999961853027
2017-07-20,12.6536,13.475,13.0643,76.26000213623047,9.579999923706055
2017-07-21,12.6379,13.4946,13.0663,77.86000061035156,9.359999656677246
2017-07-24,12.5804,13.3821,12.9813,78.23999786376953,9.430000305175781
2017-07-25,12.6607,13.4732,13.067,79.16999816894531,9.430000305175781
2017-07-26,12.7393,13.5321,13.1357,82.33999633789062,9.600000381469727
2017-07-27,12.75,13.45,13.1,86.87000274658203,10.109999656677246
2017-07-28,12.7857,13.5036,13.1446,87.19999694824219,10.289999961853027
2017-07-31,12.7,13.3714,13.0357,86.76000213623047,10.260000228881836
2017-08-01,12.6571,13.2679,12.9625,84.55000305175781,10.09000015258789
2017-08-02,12.8804,13.4839,13.1821,86.88999938964844,10.279999732971191
2017-08-03,13.0464,13.675,13.3607,87.66000366210938,10.4399995803833
2017-08-04,13.1232,13.7661,13.4446,87.38999938964844,10.029999732971191
2017-08-07,13.0321,13.6964,13.3643,90.01000213623047,9.930000305175781
2017-08-08,13.3804,14.0143,13.6973,98.68000030517578,10.960000038146973
2017-08-09,13.525,14.1679,13.8464,106.7699966430664,11.109999656677246
2017-08-10,15.2089,15.375,15.292,135.32000732421875,16.040000915527344
2017-08-11,15.4536,15.6821,15.5679,127.43000030517578,15.510000228881836
2017-08-14,13.7089,14.2714,13.9902,100.5999984741211,12.329999923706055
2017-08-15,13.8607,14.3929,14.1268,96.70999908447266,12.039999961853027
2017-08-16,13.7,14.2089,13.9545,94.81999969482422,11.739999771118164
2017-08-17,15.0179,15.225,15.1214,117.7699966430664,15.550000190734863
2017-08-18,15.1196,15.3736,15.2466,114.38999938964844,14.260000228881836
2017-08-21,14.65,14.975,14.8125,101.38999938964844,13.1899995803833
2017-08-22,13.7339,14.2464,13.9902,92.69999694824219,11.350000381469727
2017-08-23,14.2821,14.6507,14.4664,98.95999908447266,12.25
2017-08-24,14.1964,14.555,14.3757,100.26000213623047,12.229999542236328
2017-08-25,14.1107,14.465,14.2879,95.52999877929688,11.279999732971191
