Date,VX60d,VX90d,VF75,VVIX,VIX,sigma_now,ema63,macd,roll_mu,roll_sd,roll_rank,roc_3m,roc_1m,vix_spread,spike_level,atr10,vf75_change_10d_atr
2018-05-15,15.7107,15.9979,15.8543,99.18000030517578,14.630000114440918,0.991800003051758,16.977727788398575,-0.5532675411295589,17.137560714285716,2.0538146507224844,0.2048192771084337,-15.9440344403444,-10.58983425538994,-1.2242998855590823,21.245190015730685,0.3089000000000007,-2.971188086759456
2018-05-16,15.2554,15.6721,15.4637,94.79000091552734,13.420000076293944,0.9479000091552734,16.930414420011118,-0.5235315917861811,17.167290476190477,2.0103222102000995,0.180722891566265,-13.147238057794386,-9.455693089597515,-2.043699923706054,21.18793489659068,0.3205100000000005,-4.938691460484852
2018-05-17,15.025,15.475,15.25,93.4800033569336,13.43000030517578,0.934800033569336,16.87790146938577,-0.5223143068382399,17.195921428571427,1.964629299597365,0.1566265060240964,-12.012970153645552,-9.66335531031378,-1.8199996948242188,21.12518002776616,0.3217900000000003,-4.958824077814721
2018-05-18,15.2964,15.6564,15.4764,94.76000213623048,13.420000076293944,0.9476000213623048,16.834104548467465,-0.4536227960661669,17.225045238095237,1.9197495185133964,0.180722891566265,-10.952819332566166,-9.058109402452718,-2.056399923706054,21.06454427512203,0.3298600000000002,-3.7094524949978736
2018-05-21,14.8036,15.2321,15.0179,91.04000091552734,13.079999923706056,0.9104000091552734,16.777348156327857,-0.4801027520027841,17.250838095238095,1.87429450707569,0.108433734939759,-15.400691760835528,-12.946775334175786,-1.9379000762939445,20.99942710938948,0.3727100000000002,-4.593651900941752
2018-05-22,15.0136,15.3993,15.2064,90.47000122070312,13.220000267028809,0.9047000122070312,16.72825602644261,-0.4364673576807192,17.278784523809527,1.8248694764015656,0.1325301204819277,-15.523285205575332,-11.561389530251295,-1.986399732971192,20.928523476612657,0.3826500000000001,-3.7488566575199207
2018-05-23,14.7764,15.1621,14.9693,89.80000305175781,12.579999923706056,0.8980000305175782,16.67328865061628,-0.4359105915118864,17.300686904761907,1.7850759998521295,0.0843373493975903,-14.84070997838206,-14.743706572502555,-2.389300076293946,20.870838904466165,0.3599500000000002,-3.354632587859421
2018-05-24,14.675,15.125,14.9,90.63999938964844,12.529999732971191,0.9063999938964844,16.617873380284518,-0.4280347922005578,17.319074999999998,1.7515872374998147,0.072289156626506,-11.85413930595487,-16.127216436813963,-2.370000267028809,20.822249474999627,0.3148600000000002,-2.402972749793554
2018-05-25,14.9021,15.2946,15.0984,93.77999877929688,13.220000267028809,0.9377999877929688,16.570389837150625,-0.3653612501083429,17.338029761904764,1.718124515157568,0.108433734939759,-7.341082321750758,-12.278785484376996,-1.8783997329711912,20.7742787922199,0.2995400000000002,-0.6897242438405548
2018-05-29,16.125,16.1696,16.1473,108.66999816894533,17.020000457763672,1.0866999816894531,16.557168279739667,-0.1123591665266818,17.369055952380954,1.671635462101967,0.2048192771084337,-5.656309522418401,-5.488440152180274,0.8727004577636706,20.71232687658489,0.3812500000000003,2.817311475409837
2018-05-30,15.785,16.1107,15.9479,99.08000183105467,14.9399995803833,0.9908000183105468,16.5381286459978,-0.0004170632168438,17.38985357142857,1.6423552125541847,0.1927710843373494,-9.891742849716923,-7.170630624337882,-1.0079004196166998,20.67456399653694,0.3230800000000003,0.2897115265568907
2018-05-31,15.995,16.3125,16.1538,100.62999725341795,15.43000030517578,1.0062999725341797,16.52611837581037,0.1027887607324373,17.41035,1.6155221357829677,0.2048192771084337,-12.258632208443998,-3.68647933174735,-0.7237996948242191,20.641394271565936,0.3046100000000002,2.265519845047768
2018-06-01,15.3236,15.7036,15.5136,93.3000030517578,13.460000038146973,0.933000030517578,16.494477176566296,0.0349259572400058,17.426986904761904,1.5881526907396213,0.144578313253012,-14.394971940647704,-8.99299567069094,-2.053599961853028,20.603292286241143,0.3472600000000003,0.7590854115072281
2018-06-04,14.8807,15.3214,15.1011,90.83000183105467,12.739999771118164,0.9083000183105469,16.450934139798598,-0.0840873570051936,17.441350000000003,1.5610456335418073,0.0602409638554216,-14.815399802566631,-10.35635206610589,-2.361100228881837,20.56344126708362,0.3658700000000003,-1.0257741820865307
2018-06-05,14.7436,15.1893,14.9664,89.83999633789062,12.399999618530272,0.8983999633789063,16.40454244792989,-0.1737479481450599,17.439738095238095,1.5635583954945755,0.0120481927710843,-16.548736220538295,-10.380838323353291,-2.5664003814697267,20.566854886227247,0.3334900000000003,-0.1544274191130137
2018-06-06,14.3579,14.8804,14.6191,88.12000274658203,11.640000343322754,0.8812000274658203,16.348747371432083,-0.2828612407895061,17.325584523809525,1.4055113374274368,0.0,-17.911269084558857,-12.617453676031086,-2.9790996566772456,20.1366071986644,0.3493700000000002,-1.681025846523744
2018-06-07,14.4871,15.0125,14.7498,91.27999877929688,12.130000114440918,0.9127999877929688,16.298780266074832,-0.3068468727392108,17.26381547619048,1.4033124421309289,0.0120481927710843,-15.714465308174953,-11.364169005282154,-2.6197998855590825,20.07044036045233,0.3387300000000003,-0.6480087385233071
2018-06-08,14.5393,15.0696,14.8045,93.48999786376952,12.18000030517578,0.9348999786376954,16.252084007759994,-0.2955221446752709,17.211244047619047,1.4118183827488926,0.0240963855421686,-11.126252408767012,-8.483136343405363,-2.62449969482422,20.034880813116832,0.3372700000000003,-0.2831559284845951
2018-06-11,14.435,15.0286,14.7318,94.54000091552734,12.350000381469728,0.9454000091552734,16.204575132517494,-0.2888260074637223,17.143414285714286,1.3920695475063758,0.0120481927710843,-13.214727540500748,-5.906774139979298,-2.381799618530273,19.92755338072704,0.3247000000000005,-1.1290421927933458
2018-06-12,14.405,15.0661,14.7355,95.70999908447266,12.34000015258789,0.9570999908447264,16.15866653462632,-0.2705412620350387,17.09230595238095,1.4008039676368766,0.0240963855421686,-14.438425046887438,-3.7210062071218575,-2.3954998474121094,19.893913887654705,0.2201800000000004,-6.412026523753287
2018-06-13,14.6393,15.2536,14.9464,100.01000213623048,12.9399995803833,1.0001000213623046,16.120783205419247,-0.2070384902645994,17.046514285714288,1.4073971974391826,0.072289156626506,-14.648575801183217,-0.8412281400100752,-2.0064004196167,19.861308680592654,0.2213300000000004,-4.524917543938907
2018-06-14,14.2321,14.9312,14.5817,98.20999908447266,12.119999885559082,0.9820999908447264,16.072686855249895,-0.2303588830498455,16.995563095238097,1.418323962668403,0.0,-15.078010797463126,-8.026844452293702,-2.4617001144409176,19.832211020574903,0.2372100000000005,-6.627460899624794
